User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Age_Group,Addiction_Score,Health_Risk,Screen_Social_Ratio,Usage_Intensity,Entertainment_Score,Cluster,Recommendation
11,41,0,3,5,0,7.5,23.5,84.9,187,0.9,643,3.5,2.7,151,3,Middle Age,4.05,2,3.947368421052632,2.764705882352941,6.2,2,Healthy mobile usage pattern.
12,53,1,1,6,1,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,240,0,Senior,6.2299999999999995,2,1.9090909090909092,0.1217391304347826,8.6,0,Reduce screen time and take breaks.
13,35,1,5,6,0,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,972,3,Adult,6.6000000000000005,2,1.6612903225806452,2.867256637168141,8.3,4,Reduce screen time and take breaks.
14,33,0,5,7,1,1.7,33.2,208.8,121,3.0,3185,4.2,0.5,1046,1,Adult,2.1,1,0.425,12.296296296296296,4.7,3,Healthy mobile usage pattern.
15,52,1,1,1,0,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,1769,4,Senior,4.67,2,0.9107142857142857,4.672131147540984,8.7,2,Healthy mobile usage pattern.
16,46,2,8,0,0,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,1679,0,Middle Age,2.74,1,0.8857142857142858,5.75609756097561,6.6000000000000005,1,Reduce binge watching.
17,54,1,6,0,0,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,1360,1,Senior,6.4449999999999985,2,1.966101694915254,1.0,5.0,4,Reduce screen time and take breaks.
18,50,0,2,1,0,5.3,5.2,235.6,188,4.6,1120,1.0,0.8,1639,4,Middle Age,3.3549999999999995,1,0.9464285714285715,0.8253968253968255,1.8,2,Healthy mobile usage pattern.
19,40,2,4,2,1,9.0,38.9,289.6,62,2.4,8012,7.7,2.0,1224,4,Middle Age,5.405,2,2.6470588235294117,3.8899999999999997,9.7,0,Reduce screen time and take breaks.
20,60,1,9,7,1,10.4,46.0,38.0,110,3.0,511,6.8,1.3,311,3,Senior,5.734999999999999,2,2.6,4.035087719298246,8.1,0,Reduce screen time and take breaks.
21,59,2,9,9,0,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,446,2,Senior,6.959999999999999,2,1.7205882352941175,0.7165354330708662,6.699999999999999,4,Reduce screen time and take breaks.
22,46,2,2,7,0,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,3,Middle Age,5.444999999999999,2,1.1739130434782608,1.7032967032967035,5.9,2,Reduce screen time and take breaks.
23,16,0,4,8,0,1.4,25.5,222.0,141,1.6,1119,2.8,0.4,1118,2,Teen,1.41,1,0.5384615384615384,10.625,3.1999999999999997,3,Healthy mobile usage pattern.
24,29,0,1,6,0,7.0,41.7,51.0,130,1.4,2604,3.5,1.6,1154,0,Adult,3.7249999999999996,1,2.916666666666667,5.2125,5.1,2,Healthy mobile usage pattern.
25,36,1,4,8,1,5.6,47.4,155.4,123,5.9,1886,2.3,3.0,955,4,Middle Age,4.53,2,0.8115942028985507,7.181818181818182,5.3,2,Use social media timer apps.
26,15,1,3,8,0,9.2,42.7,230.9,180,0.5,4611,1.0,2.5,210,2,Teen,4.12,2,6.133333333333333,4.186274509803922,3.5,4,Reduce screen time and take breaks.
27,41,2,5,6,0,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,0,Middle Age,5.09,2,2.793103448275862,4.846153846153847,9.4,0,Reduce screen time and take breaks.
28,51,0,6,8,1,10.7,45.1,94.0,127,3.5,2293,6.7,5.0,333,0,Senior,6.874999999999999,2,2.3777777777777778,3.854700854700855,11.7,0,Reduce screen time and take breaks.
29,45,0,4,6,0,6.3,34.5,244.3,125,5.0,1647,5.9,0.2,1541,1,Middle Age,4.39,2,1.05,4.726027397260274,6.1000000000000005,1,Reduce binge watching.
30,39,0,5,2,0,4.0,9.4,194.2,32,1.5,8314,6.7,3.5,447,1,Middle Age,3.655,1,1.6,1.8800000000000001,10.2,1,Reduce binge watching.
31,40,0,7,4,0,8.4,25.7,262.8,174,1.3,3010,4.9,3.0,419,0,Middle Age,4.75,2,3.6521739130434785,2.734042553191489,7.9,0,Reduce screen time and take breaks.
32,28,0,2,9,1,5.3,16.8,264.9,84,1.3,9222,7.2,3.0,1699,3,Adult,4.01,2,2.3043478260869565,2.666666666666667,10.2,1,Reduce binge watching.
33,23,0,2,2,0,11.4,48.4,216.8,98,3.2,5026,2.7,4.9,1079,2,Young Adult,6.42,2,2.7142857142857144,3.9032258064516125,7.6000000000000005,4,Reduce screen time and take breaks.
34,57,1,3,8,1,4.1,31.2,61.5,149,5.1,386,3.9,1.0,1935,3,Senior,3.545,1,0.6721311475409836,6.11764705882353,4.9,3,Use social media timer apps.
35,23,0,0,8,1,10.7,29.0,9.0,175,2.9,633,6.4,0.0,1345,3,Young Adult,5.43,2,2.7435897435897436,2.4786324786324787,6.4,0,Reduce screen time and take breaks.
36,56,2,6,3,0,9.4,42.1,246.7,113,4.9,498,0.9,4.3,982,4,Senior,5.725,2,1.5932203389830508,4.048076923076923,5.2,4,Reduce screen time and take breaks.
37,20,2,2,7,1,11.9,45.5,195.8,150,4.1,479,5.6,1.7,169,0,Young Adult,6.455,2,2.3333333333333335,3.5271317829457365,7.3,0,Reduce screen time and take breaks.
38,22,2,6,1,0,1.6,34.1,6.0,153,5.8,5175,5.7,2.2,805,4,Young Adult,3.4149999999999996,1,0.23529411764705885,13.115384615384615,7.9,1,Use social media timer apps.
39,19,1,6,0,1,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,647,0,Young Adult,4.71,2,0.8333333333333334,0.4461538461538461,8.700000000000001,1,Use social media timer apps.
40,49,2,7,7,1,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,1192,3,Middle Age,5.015,2,0.787878787878788,7.0,9.9,1,Use social media timer apps.
41,54,1,0,8,1,2.2,22.0,30.8,156,1.8,8307,1.1,3.0,1788,3,Senior,2.135,1,0.7857142857142858,6.875,4.1,3,Healthy mobile usage pattern.
42,40,1,1,8,1,2.5,10.6,219.1,113,1.8,238,0.9,2.2,1924,4,Middle Age,2.01,1,0.8928571428571429,3.0285714285714285,3.1,3,Healthy mobile usage pattern.
43,52,0,6,9,1,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,1382,3,Senior,3.63,1,0.9166666666666667,6.259259259259259,6.0,3,Healthy mobile usage pattern.
44,42,2,8,1,1,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,322,0,Middle Age,3.69,1,0.9767441860465117,0.6538461538461539,6.1,3,Healthy mobile usage pattern.
45,23,2,4,7,1,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,314,1,Young Adult,4.1049999999999995,2,0.6825396825396826,4.981132075471698,8.1,1,Use social media timer apps.
46,51,2,8,7,1,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,1319,0,Senior,5.639999999999999,2,1.725806451612903,1.5042735042735045,3.1,4,Reduce screen time and take breaks.
47,19,1,1,6,1,3.1,24.8,82.1,75,3.9,1396,2.0,1.6,1245,3,Young Adult,2.76,1,0.6326530612244897,6.048780487804879,3.6,3,Healthy mobile usage pattern.
48,52,2,3,9,0,1.5,41.0,95.5,140,5.5,8029,5.0,0.1,802,3,Senior,2.675,1,0.23076923076923078,16.4,5.1,1,Use social media timer apps.
49,17,2,7,0,1,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,801,1,Teen,4.165,2,1.3055555555555556,5.333333333333333,9.2,1,Healthy mobile usage pattern.
50,31,0,0,3,1,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,1833,0,Adult,5.779999999999999,2,2.3111111111111113,3.6052631578947367,7.8999999999999995,0,Reduce screen time and take breaks.
51,49,2,5,4,0,8.6,46.0,181.8,154,1.6,4264,7.5,0.4,1142,3,Middle Age,4.635,2,3.3076923076923075,4.791666666666667,7.9,0,Reduce screen time and take breaks.
52,21,1,3,2,1,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,1882,0,Young Adult,5.49,2,2.685714285714286,1.4807692307692308,7.3,4,Reduce screen time and take breaks.
53,51,1,7,4,1,5.4,15.8,115.7,115,3.2,2929,3.0,2.7,1772,3,Senior,3.8150000000000004,1,1.2857142857142858,2.46875,5.7,2,Healthy mobile usage pattern.
54,32,2,8,8,1,5.8,27.5,30.0,193,4.0,948,5.6,4.6,122,3,Adult,5.02,2,1.16,4.044117647058823,10.2,1,Reduce binge watching.
55,43,2,1,9,1,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,1395,4,Middle Age,5.575,2,1.5087719298245612,1.5,7.0,4,Reduce screen time and take breaks.
56,25,1,1,4,0,5.6,38.0,296.5,40,1.5,799,1.0,2.4,1831,4,Young Adult,3.0849999999999995,1,2.2399999999999998,5.757575757575758,3.4,2,Healthy mobile usage pattern.
57,16,0,9,3,1,9.0,7.1,142.9,164,4.9,6088,2.1,1.9,686,4,Teen,5.165,2,1.5254237288135593,0.71,4.0,4,Reduce screen time and take breaks.
58,49,1,9,2,1,3.4,17.0,235.4,52,2.8,7018,7.3,4.7,2000,0,Middle Age,4.16,2,0.8947368421052632,3.8636363636363633,12.0,1,Reduce binge watching.
59,35,1,4,9,1,3.0,8.3,253.1,18,2.5,9494,3.1,4.6,479,2,Adult,3.2899999999999996,1,0.8571428571428571,2.075,7.699999999999999,3,Healthy mobile usage pattern.
60,49,1,9,0,0,4.5,1.9,54.5,197,4.3,3575,6.7,0.0,679,1,Middle Age,3.655,1,0.8490566037735849,0.34545454545454546,6.7,1,Reduce binge watching.
61,34,0,6,0,1,3.5,20.6,134.0,73,5.6,2918,3.0,1.0,329,1,Adult,3.325,1,0.5303030303030303,4.577777777777778,4.0,3,Use social media timer apps.
62,38,2,5,5,1,1.3,9.0,119.7,36,2.0,5666,4.0,4.1,1605,0,Middle Age,2.58,1,0.43333333333333335,3.91304347826087,8.1,3,Healthy mobile usage pattern.
63,38,0,0,4,1,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,1005,4,Middle Age,2.625,1,0.7619047619047619,3.1428571428571423,4.5,3,Healthy mobile usage pattern.
64,41,0,3,6,0,2.5,9.3,111.0,69,0.6,2918,6.5,1.9,1699,0,Middle Age,2.475,1,1.5625,2.6571428571428575,8.4,1,Reduce binge watching.
65,41,0,1,7,1,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,782,0,Middle Age,6.025,2,1.2205882352941178,2.0860215053763436,8.8,0,Reduce screen time and take breaks.
66,30,0,0,7,0,1.7,10.4,74.0,64,2.5,468,4.9,4.1,1361,4,Adult,2.98,1,0.4857142857142857,3.8518518518518516,9.0,1,Healthy mobile usage pattern.
67,43,1,6,1,1,3.0,24.3,151.7,143,1.1,4443,6.3,0.3,546,0,Middle Age,2.3449999999999998,1,1.4285714285714286,6.075,6.6,1,Reduce binge watching.
68,40,0,6,7,0,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,209,3,Middle Age,3.79,1,0.823529411764706,5.403846153846154,8.1,1,Reduce binge watching.
69,18,1,3,5,1,5.3,10.4,257.0,116,2.3,4368,7.6,4.2,1359,2,Teen,4.619999999999999,2,1.6060606060606062,1.650793650793651,11.8,1,Reduce binge watching.
70,24,0,3,0,1,11.2,14.7,241.5,158,1.4,563,2.3,3.5,1845,4,Young Adult,5.489999999999999,2,4.666666666666667,1.2049180327868854,5.8,4,Reduce screen time and take breaks.
71,51,0,7,5,0,11.9,47.8,21.5,68,4.3,7945,2.3,3.8,1749,3,Senior,6.535,2,2.2452830188679247,3.7054263565891468,6.1,4,Reduce screen time and take breaks.
72,23,2,6,2,1,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,1406,2,Young Adult,4.765,2,0.9811320754716982,5.580645161290323,10.6,1,Reduce binge watching.
73,43,2,6,6,0,6.9,3.0,74.6,117,3.1,1883,5.2,1.8,108,2,Middle Age,4.42,2,1.6829268292682928,0.37974683544303794,7.0,2,Reduce binge watching.
74,31,1,0,1,1,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,1393,4,Adult,4.02,2,1.1147540983606559,3.358974358974359,1.9000000000000001,2,Use social media timer apps.
75,56,0,3,5,0,6.1,20.7,23.2,117,1.6,3672,3.2,2.1,430,2,Senior,3.5399999999999996,1,2.346153846153846,2.915492957746479,5.300000000000001,2,Healthy mobile usage pattern.
76,51,0,0,7,1,9.2,45.9,294.0,129,3.7,5449,1.0,3.8,1222,1,Senior,5.245,2,1.957446808510638,4.5,4.8,4,Reduce screen time and take breaks.
77,19,2,6,2,1,6.0,42.2,193.0,101,3.1,4606,2.2,3.9,705,1,Young Adult,4.18,2,1.4634146341463417,6.028571428571429,6.1,2,Healthy mobile usage pattern.
78,26,2,9,9,1,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,1104,3,Adult,5.015000000000001,2,6.937499999999999,0.10743801652892562,5.800000000000001,0,Reduce screen time and take breaks.
79,28,1,2,9,1,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,195,2,Adult,4.505,2,1.8387096774193548,7.388059701492537,11.100000000000001,1,Reduce binge watching.
80,37,2,9,4,1,10.5,33.0,69.0,92,4.0,8284,1.3,4.1,781,4,Middle Age,5.895,2,2.1,2.869565217391304,5.3999999999999995,4,Reduce screen time and take breaks.
81,42,2,7,1,0,1.8,9.2,107.6,19,3.5,4648,3.7,0.6,1691,0,Middle Age,2.21,1,0.4,3.2857142857142856,4.3,3,Healthy mobile usage pattern.
82,46,2,9,6,0,10.0,30.8,105.6,179,3.9,3003,4.9,2.4,472,1,Middle Age,5.81,2,2.0408163265306123,2.8000000000000003,7.300000000000001,0,Reduce screen time and take breaks.
83,52,1,5,7,1,5.0,46.6,127.1,56,4.6,7151,4.1,2.2,554,0,Senior,4.0649999999999995,2,0.8928571428571429,7.766666666666667,6.3,2,Healthy mobile usage pattern.
84,23,0,4,7,0,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,1355,1,Young Adult,3.405,1,1.40625,8.054545454545455,5.6000000000000005,3,Healthy mobile usage pattern.
85,25,0,4,3,0,5.0,26.4,216.9,78,4.0,3751,1.7,4.4,1249,1,Young Adult,4.105,2,1.0,4.3999999999999995,6.1000000000000005,2,Healthy mobile usage pattern.
86,39,0,0,3,0,2.4,14.6,9.5,84,1.6,1401,3.6,2.0,1081,0,Middle Age,2.28,1,0.923076923076923,4.294117647058823,5.6,3,Healthy mobile usage pattern.
87,43,2,7,8,1,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,505,3,Middle Age,5.500000000000001,2,5.428571428571429,3.6693548387096775,7.9,0,Reduce screen time and take breaks.
88,39,1,5,7,0,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,1767,3,Middle Age,5.095000000000001,2,2.3157894736842106,4.163265306122448,7.8999999999999995,0,Reduce screen time and take breaks.
89,38,1,7,5,0,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,1401,2,Middle Age,2.915,1,0.2903225806451613,17.821428571428573,6.5,1,Use social media timer apps.
90,46,2,7,2,0,6.7,15.8,120.9,187,1.2,2427,6.4,2.5,1186,2,Middle Age,4.2299999999999995,2,3.0454545454545454,2.051948051948052,8.9,0,Reduce binge watching.
91,33,1,5,8,0,10.9,38.0,273.4,198,3.0,305,5.1,2.7,324,0,Adult,6.005,2,2.725,3.1932773109243695,7.8,0,Reduce screen time and take breaks.
92,51,2,3,3,0,10.5,28.4,182.7,86,1.2,1305,7.1,1.7,1479,2,Senior,5.465,2,4.7727272727272725,2.4695652173913043,8.799999999999999,0,Reduce screen time and take breaks.
93,57,2,9,3,1,10.8,39.2,28.6,126,4.0,526,4.7,1.2,1610,1,Senior,5.785,2,2.16,3.3220338983050848,5.9,0,Reduce screen time and take breaks.
94,59,1,9,1,0,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,1239,1,Senior,2.805,1,0.5897435897435898,3.515151515151515,5.7,3,Healthy mobile usage pattern.
95,21,2,6,8,0,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,1727,2,Young Adult,3.1350000000000002,1,3.0,3.609756097560976,1.5,2,Healthy mobile usage pattern.
96,17,2,4,2,0,11.8,35.2,111.2,140,0.7,856,7.0,2.0,1474,1,Teen,5.8549999999999995,2,6.9411764705882355,2.75,9.0,0,Reduce screen time and take breaks.
97,22,1,8,1,0,8.0,12.9,82.9,113,3.9,2936,4.7,0.0,443,4,Young Adult,4.4799999999999995,2,1.6326530612244896,1.4333333333333333,4.7,0,Healthy mobile usage pattern.
98,25,1,1,0,1,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,809,1,Young Adult,2.825,1,0.2727272727272727,10.36,7.7,1,Reduce binge watching.
99,29,0,6,2,0,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,990,3,Adult,5.159999999999999,2,1.5,4.829545454545454,7.0,2,Healthy mobile usage pattern.
100,31,0,9,0,1,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,431,0,Adult,6.135,2,2.0961538461538463,3.453781512605042,6.199999999999999,4,Reduce screen time and take breaks.
101,39,1,9,0,0,8.4,46.3,175.6,180,5.6,3881,7.0,0.1,1254,3,Middle Age,5.415,2,1.272727272727273,4.925531914893616,7.1,0,Reduce screen time and take breaks.
102,15,2,8,6,1,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,687,4,Teen,5.465,2,3.28125,3.417391304347826,6.2,4,Reduce screen time and take breaks.
103,21,1,3,0,0,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,1129,1,Young Adult,4.49,2,0.6545454545454545,1.1956521739130437,11.5,1,Reduce binge watching.
104,56,1,4,2,1,11.6,31.6,123.1,150,2.0,7124,6.7,3.4,1037,1,Senior,6.414999999999999,2,3.8666666666666667,2.507936507936508,10.1,0,Reduce screen time and take breaks.
105,29,0,5,9,1,4.8,8.4,253.0,62,5.9,1373,1.4,0.8,1216,2,Adult,3.565,1,0.6956521739130435,1.4482758620689655,2.2,3,Use social media timer apps.
106,58,0,2,9,0,7.9,7.9,18.5,34,1.0,1875,3.5,0.4,1983,3,Senior,3.64,1,3.95,0.8876404494382023,3.9,2,Healthy mobile usage pattern.
107,40,2,2,9,0,5.5,42.8,50.0,142,3.6,8911,4.4,3.7,1226,4,Middle Age,4.409999999999999,2,1.1956521739130437,6.584615384615384,8.100000000000001,2,Healthy mobile usage pattern.
108,38,2,4,6,1,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,767,3,Middle Age,2.6149999999999998,1,3.0,3.8,3.9,3,Healthy mobile usage pattern.
109,32,2,3,4,0,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,1338,4,Adult,5.76,2,2.0444444444444443,4.254901960784314,8.5,0,Reduce screen time and take breaks.
110,28,0,4,7,0,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,1839,0,Adult,5.47,2,3.8750000000000004,4.737864077669903,10.5,0,Reduce screen time and take breaks.
111,57,1,5,3,0,9.6,49.4,257.1,47,2.7,5899,6.0,2.5,414,2,Senior,5.5600000000000005,2,2.5945945945945943,4.660377358490566,8.5,0,Reduce screen time and take breaks.
112,43,0,5,5,1,1.2,20.5,244.1,13,3.0,4570,5.3,3.2,206,3,Middle Age,2.7649999999999997,1,0.3,9.318181818181817,8.5,1,Reduce binge watching.
113,54,2,4,1,0,8.0,24.5,85.7,163,1.5,2640,3.8,1.1,1580,3,Senior,4.02,2,3.2,2.7222222222222223,4.9,2,Healthy mobile usage pattern.
114,15,2,9,5,1,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,448,0,Teen,6.07,2,1.25,1.9578947368421054,9.3,0,Reduce screen time and take breaks.
115,27,1,5,0,1,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,392,0,Adult,2.01,1,0.7142857142857143,3.12,6.199999999999999,3,Healthy mobile usage pattern.
116,56,1,2,6,0,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,1627,1,Senior,4.1899999999999995,2,0.8,0.564516129032258,6.3,1,Use social media timer apps.
117,15,2,5,3,0,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,1837,0,Teen,4.995,2,1.390625,1.404040404040404,2.4,4,Reduce screen time and take breaks.
118,19,0,2,2,1,7.2,16.0,163.5,191,1.9,6130,4.8,1.8,1202,2,Young Adult,4.165,2,2.4827586206896552,1.9512195121951221,6.6,2,Healthy mobile usage pattern.
119,31,2,8,6,1,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,1936,4,Adult,4.220000000000001,2,1.3636363636363635,3.4352941176470586,2.4000000000000004,2,Healthy mobile usage pattern.
120,44,2,2,3,1,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,1350,2,Middle Age,6.05,2,2.634146341463415,1.3389830508474576,8.9,0,Reduce screen time and take breaks.
121,53,1,4,1,0,1.4,28.9,265.2,179,3.9,1032,4.5,2.1,254,1,Senior,2.6649999999999996,1,0.2857142857142857,12.041666666666666,6.6,3,Healthy mobile usage pattern.
122,46,2,8,7,1,5.9,38.1,144.6,186,2.1,684,4.5,1.2,1562,3,Middle Age,3.5649999999999995,1,1.903225806451613,5.521739130434782,5.7,2,Healthy mobile usage pattern.
123,25,2,4,4,1,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,1268,1,Young Adult,2.665,1,0.7115384615384616,10.53191489361702,2.0,3,Healthy mobile usage pattern.
124,49,1,9,1,0,10.1,9.4,69.5,125,0.7,5893,4.2,4.6,837,3,Middle Age,5.489999999999999,2,5.9411764705882355,0.8468468468468469,8.8,4,Reduce screen time and take breaks.
125,23,0,9,5,1,10.1,6.1,68.8,198,5.8,3598,1.6,3.9,1054,4,Young Adult,6.2,2,1.4852941176470589,0.5495495495495495,5.5,4,Reduce screen time and take breaks.
126,24,1,3,7,0,6.1,9.0,240.6,126,1.0,1035,3.2,1.3,944,2,Young Adult,3.19,1,3.05,1.267605633802817,4.5,2,Healthy mobile usage pattern.
127,21,1,8,5,1,6.5,1.5,115.0,196,2.1,1824,1.8,1.8,727,1,Young Adult,3.52,1,2.096774193548387,0.2,3.6,2,Healthy mobile usage pattern.
128,39,0,3,0,1,4.8,22.6,205.0,71,5.3,5852,3.6,3.6,1574,4,Middle Age,4.445,2,0.7619047619047619,3.8965517241379315,7.2,2,Use social media timer apps.
129,50,0,3,2,1,3.7,48.7,57.3,52,3.9,7916,2.7,2.1,905,3,Middle Age,3.2,1,0.7551020408163265,10.361702127659575,4.800000000000001,3,Healthy mobile usage pattern.
130,25,2,4,4,0,5.2,37.5,218.5,23,3.1,3433,6.6,2.0,147,0,Young Adult,4.085,2,1.2682926829268295,6.048387096774193,8.6,1,Reduce binge watching.
131,21,2,7,8,0,2.9,27.6,202.1,85,1.8,6866,3.3,4.2,1149,1,Young Adult,3.0100000000000002,1,1.0357142857142858,7.0769230769230775,7.5,3,Healthy mobile usage pattern.
132,39,0,4,1,1,7.7,6.6,118.1,39,4.9,5299,7.9,2.5,1795,3,Middle Age,5.73,2,1.3050847457627117,0.7586206896551725,10.4,0,Reduce binge watching.
133,48,1,2,0,1,5.0,22.5,98.8,143,2.1,708,7.6,2.9,1389,3,Middle Age,4.14,2,1.6129032258064515,3.75,10.5,1,Reduce binge watching.
134,18,2,7,0,0,3.7,40.8,226.0,167,0.8,4554,0.9,4.2,411,3,Teen,2.6799999999999997,1,2.055555555555556,8.680851063829786,5.1000000000000005,3,Healthy mobile usage pattern.
135,56,1,5,3,1,4.4,11.9,30.3,68,5.7,716,2.6,0.3,715,1,Senior,3.43,1,0.6567164179104478,2.2037037037037037,2.9,3,Use social media timer apps.
136,43,2,7,7,1,2.4,42.1,147.2,143,4.8,3847,5.6,4.4,1760,4,Middle Age,3.9799999999999995,1,0.41379310344827586,12.382352941176471,10.0,1,Reduce binge watching.
137,59,1,0,9,0,8.8,31.1,216.5,122,2.8,3840,4.1,3.4,267,1,Senior,5.245,2,2.3157894736842106,3.173469387755102,7.5,4,Reduce screen time and take breaks.
138,33,1,0,0,1,8.2,34.4,173.0,177,5.2,8751,0.7,3.0,850,2,Adult,5.025,2,1.3225806451612903,3.739130434782609,3.7,4,Reduce screen time and take breaks.
139,19,1,7,8,0,4.1,14.3,134.6,193,4.9,977,6.2,0.2,512,3,Young Adult,3.6399999999999997,1,0.6949152542372881,2.8039215686274512,6.4,1,Reduce binge watching.
140,59,0,6,9,0,1.5,5.3,286.9,83,4.8,151,6.9,0.4,1849,2,Senior,2.8599999999999994,1,0.25862068965517243,2.12,7.300000000000001,1,Reduce binge watching.
141,49,1,5,3,0,1.8,14.2,176.7,138,3.4,4034,8.0,2.5,1130,0,Middle Age,3.3049999999999997,1,0.40909090909090906,5.071428571428571,10.5,1,Reduce binge watching.
142,53,0,1,9,0,8.1,22.6,228.5,48,2.8,1175,5.0,2.2,176,2,Senior,4.835,2,2.1315789473684212,2.4835164835164836,7.2,0,Reduce screen time and take breaks.
143,49,2,7,2,0,11.7,42.6,218.5,150,5.6,6184,6.3,0.6,1980,3,Middle Age,6.59,2,1.7727272727272727,3.3543307086614176,6.8999999999999995,0,Reduce screen time and take breaks.
